"local_code","name","gics_subindustry_id"
"0801","AUTOMOBILE ASSEMBLER","54"
"0802","AUTOMOBILE PARTS & ACCESSORIES","52"
"0803","CABLE & ELECTRICAL GOODS","28"
"0804","CEMENT","13"
"0806","CLOSE - END MUTUAL FUND","109"
"0807","COMMERCIAL BANKS","101"
"0808","ENGINEERING","27"
"0837","EXCHANGE TRADED FUNDS","109"
"0809","FERTILIZER","10"
"0810","FOOD & PERSONAL CARE PRODUCTS","87"
"0040","FUTURE CONTRACTS","111"
"0811","GLASS & CERAMICS","13"
"0812","INSURANCE","117"
"0813","INV. BANKS / INV. COS. / SECURITIES COS.","110"
"0814","JUTE","64"
"0815","LEASING COMPANIES","105"
"0816","LEATHER & TANNERIES","62"
"0818","MISCELLANEOUS","103"
"0819","MODARABAS","105"
"0820","OIL & GAS EXPLORATION COMPANIES","4"
"0821","OIL & GAS MARKETING COMPANIES","5"
"0823","PHARMACEUTICALS","99"
"0824","POWER GENERATION & DISTRIBUTION","145"
"0836","REAL ESTATE INVESTMENT TRUST","155"
"0825","REFINERY","5"
"0826","SUGAR & ALLIED INDUSTRIES","87"
"0827","SYNTHETIC & RAYON","64"
"0829","TEXTILE COMPOSITE","64"
"0830","TEXTILE SPINNING","64"
"0831","TEXTILE WEAVING","64"
"0832","TOBACCO","88"
"0833","TRANSPORT","47"
"0834","VANASPATI & ALLIED INDUSTRIES","87"
"0835","WOOLLEN","64"
"0838","PROPERTY","160"
"0822","PAPERE, BOARD & PACKAGING","24"
