"id","local_code","name","gics_subindustry_id"
"1","0801","AUTOMOBILE ASSEMBLER","54"
"2","0802","AUTOMOBILE PARTS & ACCESSORIES","52"
"3","0803","CABLE & ELECTRICAL GOODS","28"
"4","0804","CEMENT","13"
"6","0806","CLOSE - END MUTUAL FUND","109"
"7","0807","COMMERCIAL BANKS","101"
"8","0808","ENGINEERING","27"
"9","0837","EXCHANGE TRADED FUNDS","109"
"10","0809","FERTILIZER","10"
"11","0810","FOOD & PERSONAL CARE PRODUCTS","87"
"12","0040","FUTURE CONTRACTS","111"
"13","0811","GLASS & CERAMICS","13"
"14","0812","INSURANCE","117"
"15","0813","INV. BANKS / INV. COS. / SECURITIES COS.","110"
"16","0814","JUTE","64"
"17","0815","LEASING COMPANIES","105"
"18","0816","LEATHER & TANNERIES","62"
"19","0818","MISCELLANEOUS","103"
"20","0819","MODARABAS","105"
"21","0820","OIL & GAS EXPLORATION COMPANIES","4"
"22","0821","OIL & GAS MARKETING COMPANIES","5"
"24","0823","PHARMACEUTICALS","99"
"25","0824","POWER GENERATION & DISTRIBUTION","145"
"26","0836","REAL ESTATE INVESTMENT TRUST","155"
"27","0825","REFINERY","5"
"28","0826","SUGAR & ALLIED INDUSTRIES","87"
"29","0827","SYNTHETIC & RAYON","64"
"31","0829","TEXTILE COMPOSITE","64"
"32","0830","TEXTILE SPINNING","64"
"33","0831","TEXTILE WEAVING","64"
"34","0832","TOBACCO","88"
"35","0833","TRANSPORT","47"
"36","0834","VANASPATI & ALLIED INDUSTRIES","87"
"37","0835","WOOLLEN","64"
"38","0838","PROPERTY","160"
"23","0822","PAPERE, BOARD & PACKAGING","24"
